（2シートに分けて掲載しています）;;;;;;;;;;;;;;;;;
市区町村別推計人口;;;;;;;;;;;;;;;;;
（注）推計の基礎を平成22年国勢調査確定値とし、これに毎月の住民基本台帳等の増減数を加えて算出したものです。;;;;;;;;;;;;;;;;;
　　　その他の増：職権記載、転出取消、国籍取得等；その他の減：職権消除、国籍喪失等;;;;;;;;;;;;;;;;;
単位：人;;;;;;;;;;;;;;;;;
男女;コード;地域;広域エリア;郡;市区町村等;平成26年 6月 1日現在人口;6月総増減;;;;;;;;;平成26年 7月 1日現在人口;
;;;;;;（前月）;;自然増減;;;社会増減;;;;;;
;;;;;;;;;+)出生;-)死亡;;+)転入;-)転出;+)その他の増;-)その他の減;;
男;23425;尾張地域;西尾張エリア;海部郡;蟹江町;18 132;16;9;21;12;7;81;75;1;0;18 148;
男;23427;尾張地域;西尾張エリア;海部郡;飛島村;2 177;△ 3;1;1;0;△ 4;6;7;0;3;2 174;
男;23441;尾張地域;知多エリア;知多郡;阿久比町;13 397;14;△ 4;10;14;18;41;23;0;0;13 411;
男;23442;尾張地域;知多エリア;知多郡;東浦町;25 003;△ 2;8;22;14;△ 10;55;67;3;1;25 001;
男;23445;尾張地域;知多エリア;知多郡;南知多町;9 175;30;△ 3;5;8;33;59;26;0;0;9 205;
男;23446;尾張地域;知多エリア;知多郡;美浜町;11 977;△ 7;△ 8;2;10;1;23;22;0;0;11 970;
男;23447;尾張地域;知多エリア;知多郡;武豊町;21 638;△ 20;△ 6;7;13;△ 14;50;62;0;2;21 618;
男;23501;西三河地域;西三河エリア;額田郡;幸田町;19 894;24;9;22;13;15;64;48;1;2;19 918;
男;23561;東三河地域;東三河エリア;北設楽郡;設楽町;2 482;△ 4;△ 4;1;5;0;5;5;0;0;2 478;
男;23562;東三河地域;東三河エリア;北設楽郡;東栄町;1 590;△ 6;△ 5;0;5;△ 1;0;1;0;0;1 584;
男;23563;東三河地域;東三河エリア;北設楽郡;豊根村;561;△ 3;0;1;1;△ 3;0;3;0;0;558;
女;23000;;;;愛知県;3 723 003;620;345;2 530;2 185;275;11 121;10 614;232;464;3 723 623;
女;23100;尾張地域;;;名古屋市;1 154 528;129;53;795;742;76;4 696;4 553;96;163;1 154 657;
女;23101;;名古屋エリア;;千種区;83 885;18;△ 8;44;52;26;400;368;5;11;83 903;
女;23102;;名古屋エリア;;東区;39 515;30;11;29;18;19;250;228;5;8;39 545;
女;23103;;名古屋エリア;;北区;84 281;△ 17;3;65;62;△ 20;294;311;5;8;84 264;
女;23104;;名古屋エリア;;西区;73 692;80;7;54;47;73;323;246;3;7;73 772;
女;23105;;名古屋エリア;;中村区;67 304;32;△ 9;41;50;41;327;280;3;9;67 336;
女;23106;;名古屋エリア;;中区;41 996;6;△ 2;29;31;8;361;336;10;27;42 002;
女;23107;;名古屋エリア;;昭和区;53 249;△ 21;10;40;30;△ 31;230;259;10;12;53 228;
女;23108;;名古屋エリア;;瑞穂区;54 348;△ 13;8;40;32;△ 21;190;210;2;3;54 335;
女;23109;;名古屋エリア;;熱田区;32 997;△ 57;△ 16;17;33;△ 41;124;165;4;4;32 940;
女;23110;;名古屋エリア;;中川区;111 141;△ 4;22;86;64;△ 26;385;400;5;16;111 137;
女;23111;;名古屋エリア;;港区;72 346;△ 36;△ 18;38;56;△ 18;226;234;6;16;72 310;
女;23112;;名古屋エリア;;南区;67 743;△ 55;△ 31;37;68;△ 24;218;236;8;14;67 688;
女;23113;;名古屋エリア;;守山区;86 887;△ 6;7;68;61;△ 13;290;300;3;6;86 881;
女;23114;;名古屋エリア;;緑区;120 471;59;35;94;59;24;341;321;9;5;120 530;
女;23115;;名古屋エリア;;名東区;84 703;55;7;50;43;48;397;351;12;10;84 758;
女;23116;;名古屋エリア;;天白区;79 970;58;27;63;36;31;340;308;6;7;80 028;
女;23201;東三河地域;東三河エリア;;豊橋市;186 533;△ 34;△ 25;91;116;△ 9;323;336;21;17;186 499;
女;23202;西三河地域;西三河エリア;;岡崎市;185 882;96;58;153;95;38;411;378;18;13;185 978;
女;23203;尾張地域;西尾張エリア;;一宮市;194 498;△ 25;△ 3;96;99;△ 22;335;335;5;27;194 473;
女;23204;尾張地域;北東尾張エリア;;瀬戸市;66 198;4;4;33;29;0;138;139;2;1;66 202;
女;23205;尾張地域;知多エリア;;半田市;58 752;12;5;40;35;7;138;128;3;6;58 764;
女;23206;尾張地域;北東尾張エリア;;春日井市;154 555;△ 59;7;96;89;△ 66;325;381;4;14;154 496;
女;23207;東三河地域;東三河エリア;;豊川市;91 073;△ 16;11;64;53;△ 27;129;151;5;10;91 057;
女;23208;尾張地域;西尾張エリア;;津島市;32 489;△ 27;△ 18;16;34;△ 9;69;79;2;1;32 462;
女;23209;西三河地域;西三河エリア;;碧南市;34 640;△ 13;5;24;19;△ 18;73;91;2;2;34 627;
女;23210;西三河地域;西三河エリア;;刈谷市;70 326;67;39;73;34;28;253;220;3;8;70 393;
女;23211;西三河地域;西三河エリア;;豊田市;200 019;137;52;152;100;85;572;473;13;27;200 156;
女;23212;西三河地域;西三河エリア;;安城市;88 992;53;51;86;35;2;244;229;5;18;89 045;
女;23213;西三河地域;西三河エリア;;西尾市;82 601;57;△ 5;52;57;62;212;147;5;8;82 658;
女;23214;東三河地域;東三河エリア;;蒲郡市;40 805;△ 20;△ 5;19;24;△ 15;76;86;1;6;40 785;
女;23215;尾張地域;北東尾張エリア;;犬山市;37 431;△ 9;△ 4;20;24;△ 5;78;82;3;4;37 422;
女;23216;尾張地域;知多エリア;;常滑市;28 835;7;△ 4;19;23;11;89;73;0;5;28 842;
女;23217;尾張地域;北東尾張エリア;;江南市;50 756;△ 29;1;29;28;△ 30;104;133;2;3;50 727;
女;23219;尾張地域;北東尾張エリア;;小牧市;72 949;2;5;43;38;△ 3;230;213;7;27;72 951;
女;23220;尾張地域;西尾張エリア;;稲沢市;69 266;△ 19;3;49;46;△ 22;142;152;3;15;69 247;
女;23221;東三河地域;東三河エリア;;新城市;24 138;△ 40;△ 9;8;17;△ 31;38;51;1;19;24 098;
女;23222;尾張地域;知多エリア;;東海市;53 150;20;12;38;26;8;135;129;3;1;53 170;
女;23223;尾張地域;知多エリア;;大府市;43 136;43;22;41;19;21;157;134;1;3;43 179;
女;23224;尾張地域;知多エリア;;知多市;41 756;△ 10;△ 2;26;28;△ 8;85;90;2;5;41 746;
女;23225;西三河地域;西三河エリア;;知立市;33 276;△ 19;8;24;16;△ 27;138;160;3;8;33 257;
女;23226;尾張地域;北東尾張エリア;;尾張旭市;41 897;26;△ 11;15;26;37;128;93;3;1;41 923;
女;23227;西三河地域;西三河エリア;;高浜市;21 823;2;9;22;13;△ 7;71;76;2;4;21 825;
女;23228;尾張地域;北東尾張エリア;;岩倉市;23 250;7;7;17;10;0;86;85;3;4;23 257;
女;23229;尾張地域;北東尾張エリア;;豊明市;34 554;12;11;28;17;1;91;91;1;0;34 566;
女;23230;尾張地域;北東尾張エリア;;日進市;44 267;53;19;32;13;34;171;135;0;2;44 320;
女;23231;東三河地域;東三河エリア;;田原市;30 847;△ 37;△ 9;21;30;△ 28;46;68;1;7;30 810;
女;23232;尾張地域;西尾張エリア;;愛西市;32 668;5;△ 9;13;22;14;57;43;0;0;32 673;
女;23233;尾張地域;北東尾張エリア;;清須市;33 143;10;13;31;18;△ 3;111;105;0;9;33 153;
女;23234;尾張地域;北東尾張エリア;;北名古屋市;41 671;4;8;33;25;△ 4;125;126;1;4;41 675;
女;23235;尾張地域;西尾張エリア;;弥富市;21 783;2;△ 10;11;21;12;61;47;0;2;21 785;
女;23236;西三河地域;西三河エリア;;みよし市;28 605;8;8;21;13;0;95;95;1;1;28 613;
女;23237;尾張地域;西尾張エリア;;あま市;43 826;△ 14;8;29;21;△ 22;98;119;2;3;43 812;
女;23238;尾張地域;北東尾張エリア;;長久手市;28 181;87;16;27;11;71;158;88;2;1;28 268;
女;23302;尾張地域;北東尾張エリア;愛知郡;東郷町;21 166;19;4;16;12;15;65;50;0;0;21 185;
女;23342;尾張地域;北東尾張エリア;西春日井郡;豊山町;7 361;16;4;5;1;12;34;21;1;2;7 377;
女;23361;尾張地域;北東尾張エリア;丹羽郡;大口町;11 345;30;7;11;4;23;42;19;0;0;11 375;
女;23362;尾張地域;北東尾張エリア;丹羽郡;扶桑町;17 150;14;△ 2;15;17;16;66;50;0;0;17 164;
女;23424;尾張地域;西尾張エリア;海部郡;大治町;15 197;29;3;7;4;26;72;47;2;1;15 226;
女;23425;尾張地域;西尾張エリア;海部郡;蟹江町;18 486;13;3;10;7;10;63;53;0;0;18 499;
女;23427;尾張地域;西尾張エリア;海部郡;飛島村;2 314;2;1;2;1;1;6;5;0;0;2 316;
女;23441;尾張地域;知多エリア;知多郡;阿久比町;13 948;12;4;8;4;8;39;31;0;0;13 960;
女;23442;尾張地域;知多エリア;知多郡;東浦町;24 890;△ 12;1;16;15;△ 13;53;67;1;0;24 878;
女;23445;尾張地域;知多エリア;知多郡;南知多町;9 893;32;△ 3;3;6;35;52;17;0;0;9 925;
女;23446;尾張地域;知多エリア;知多郡;美浜町;12 423;△ 5;0;10;10;△ 5;22;27;0;0;12 418;
女;23447;尾張地域;知多エリア;知多郡;武豊町;20 986;△ 1;1;16;15;△ 2;55;55;1;3;20 985;
女;23501;西三河地域;西三河エリア;額田郡;幸田町;19 580;11;10;23;13;1;59;50;1;9;19 591;
女;23561;東三河地域;東三河エリア;北設楽郡;設楽町;2 690;△ 6;△ 4;0;4;△ 2;3;5;0;0;2 684;
女;23562;東三河地域;東三河エリア;北設楽郡;東栄町;1 851;△ 4;△ 3;1;4;△ 1;1;2;0;0;1 847;
女;23563;東三河地域;東三河エリア;北設楽郡;豊根村;624;△ 2;△ 2;0;2;0;1;1;0;0;622;
;;;;;;;;;;;;;;;;;
