;;;;;;;;;;;;;
;住基ネットにおける人口【参考値】（北海道総合政策部地域行政局市町村課調）;;;;;;;;;;;;
;"・このデータは住民基本台帳ネットワークシステム上の平成26年6月30日現在の入力状況であり、各市町村が公表する住民基本台帳人口と一致しない場合があります。
・出生時に性別が不明などの理由で、住民基本台帳に記載がない場合、不明に掲載されています。";;;;;;;;;;;;
;;;;;;;;;;;;;平成26年6月30日現在
;市区町村;人　口（人）;;;;;;;;;;;
;;総　数;;;男;;;女;;;不明;;
;;日本人;外国人;計;日本人;外国人;計;日本人;外国人;計;日本人;外国人;計
;　町村計;93 918;374;94 292;44 900;113;45 013;49 018;261;49 279;0;0;0
;　　幌加内町;1 641;2;1 643;819;1;820;822;1;823;0;0;0
;　　鷹栖町;7 269;5;7 274;3 437;4;3 441;3 832;1;3 833;0;0;0
;　　東神楽町;10 113;14;10 127;4 775;13;4 788;5 338;1;5 339;0;0;0
;　　当麻町;6 926;6;6 932;3 211;5;3 216;3 715;1;3 716;0;0;0
;　　比布町;3 963;2;3 965;1 878;0;1 878;2 085;2;2 087;0;0;0
;　　愛別町;3 127;35;3 162;1 492;1;1 493;1 635;34;1 669;0;0;0
;　　上川町;4 039;39;4 078;1 916;2;1 918;2 123;37;2 160;0;0;0
;　　東川町;7 855;59;7 914;3 678;6;3 684;4 177;53;4 230;0;0;0
;　　美瑛町;10 656;34;10 690;5 000;14;5 014;5 656;20;5 676;0;0;0
;　　上富良野町;11 287;38;11 325;5 679;12;5 691;5 608;26;5 634;0;0;0
;　　中富良野町;5 307;12;5 319;2 520;2;2 522;2 787;10;2 797;0;0;0
;　　南富良野町;2 668;9;2 677;1 344;4;1 348;1 324;5;1 329;0;0;0
;　　占冠村;1 153;59;1 212;574;26;600;579;33;612;0;0;0
;　　和寒町;3 727;8;3 735;1 712;7;1 719;2 015;1;2 016;0;0;0
;　　剣淵町;3 389;1;3 390;1 628;1;1 629;1 761;0;1 761;0;0;0
;　　下川町;3 517;28;3 545;1 655;8;1 663;1 862;20;1 882;0;0;0
;　　美深町;4 751;14;4 765;2 305;5;2 310;2 446;9;2 455;0;0;0
;　　音威子府村;810;7;817;405;1;406;405;6;411;0;0;0
;　　中川町;1 720;2;1 722;872;1;873;848;1;849;0;0;0
;;;;;;;;;;;;;
;留萌計;49 871;212;50 083;23 826;29;23 855;26 045;183;26 228;0;0;0
;　　留萌市;22 971;89;23 060;11 008;12;11 020;11 963;77;12 040;0;0;0
;　町村計;26 900;123;27 023;12 818;17;12 835;14 082;106;14 188;0;0;0
